#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
283408:5423,10/17/16 22:10:43,2355,2355,0.479821546,0.461816465
283416:5423,10/18/16 15:16:09,197,197,0.022663827,0.022044105
283453:5424,10/18/16 19:07:49,455,455,0.130170528,0.124741121
283469:5426,10/19/16 01:09:36,1,1,0.000336328,0.000031461
283478:5427,10/19/16 04:13:19,878,874,0.221655979,0.212593955
283548:5433,10/19/16 22:58:16,148,146,0.028243729,0.026583803
283680:5437,10/21/16 03:17:51,87,87,0.021364637,0.019145319
283681:5437,10/21/16 03:56:07,23,23,0.005479847,0.003854775
283682:5437,10/21/16 04:08:38,389,384,0.084335331,0.080903225
283685:5437,10/21/16 06:39:38,314,314,0.021584449,0.020476214
283820:5439,10/21/16 20:48:18,1486,1482,0.271103506,0.261598727
283830:5439,10/22/16 06:27:24,729,722,0.106986194,0.103188837
283834:5439,10/22/16 11:11:28,85,82,0.010852824,0.009088268
283835:5439,10/22/16 11:45:28,112,112,0.013217799,0.011410360
283865:5441,10/22/16 17:30:09,1177,1177,0.276459279,0.267265935
283876:5442,10/23/16 03:38:50,672,668,0.175560520,0.165629295
283877:5442,10/23/16 07:59:53,1496,1496,0.256054873,0.248062170
283884:5443,10/23/16 23:44:05,408,408,0.108996968,0.103096196
283885:5443,10/24/16 02:25:30,1723,1723,0.301835544,0.293297335
283933:5446,10/24/16 18:32:31,153,148,0.045122273,0.040818835
283934:5446,10/24/16 19:33:15,1258,1258,0.282758143,0.272353913
283946:5448,10/25/16 07:30:41,1378,1378,0.315329684,0.303446667
283964:5448,10/25/16 16:29:30,388,388,0.061117188,0.059246802
284006:5450,10/26/16 01:53:26,322,321,0.061062125,0.058267372
284014:5450,10/26/16 03:59:16,266,266,0.049611443,0.048298876
284025:5451,10/26/16 08:56:20,54,52,0.014487282,0.012336625
284029:5451,10/26/16 09:19:00,112,112,0.032150210,0.030294679
284035:5451,10/26/16 10:04:52,369,361,0.093723746,0.088596369
284036:5451,10/26/16 12:28:09,356,349,0.077637698,0.072473292
284037:5451,10/26/16 14:48:03,343,341,0.065542847,0.063010360
284038:5451,10/26/16 17:02:16,60,55,0.010679312,0.009192519
284039:5451,10/26/16 17:27:02,34,30,0.005942863,0.004843458
284040:5451,10/26/16 17:42:18,35,35,0.006049726,0.005499267
284041:5451,10/26/16 17:59:11,47,45,0.007784569,0.006876669
284042:5451,10/26/16 18:23:53,137,129,0.022043813,0.019884807
284043:5451,10/26/16 19:17:23,227,225,0.033783793,0.032003512
284044:5451,10/26/16 20:46:05,30,30,0.004412021,0.004325715
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#66,164,94094,93787,17.796657943,16.977701784
#Check JSON:
#(run,ls) in json but not in results: []
