#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
276810:5095,07/14/16 10:15:44,291,288,0.047789946,0.045167887
276811:5095,07/14/16 12:15:34,2563,2563,0.314203317,0.304356839
276831:5096,07/15/16 07:47:46,2648,2644,0.422163996,0.404186095
276834:5096,07/16/16 01:42:10,729,724,0.077121641,0.073217236
276870:5097,07/16/16 11:02:01,3403,3403,0.551979911,0.531765583
276935:5101,07/17/16 23:39:55,824,824,0.181424268,0.171845603
276940:5102,07/18/16 08:13:36,145,144,0.034563730,0.029025451
276946:5102,07/18/16 09:56:36,34,27,0.007836890,0.004299742
276947:5102,07/18/16 10:11:19,150,141,0.033502408,0.024873114
276948:5102,07/18/16 11:09:47,481,475,0.097896925,0.086854899
276950:5102,07/18/16 14:16:45,2353,2353,0.340675434,0.326195781
277069:5105,07/19/16 17:52:15,314,311,0.081222675,0.076408143
277070:5105,07/19/16 19:54:11,1063,1060,0.220774318,0.208687486
277071:5105,07/20/16 02:48:37,171,171,0.029568980,0.026613803
277072:5105,07/20/16 04:01:41,482,473,0.075043227,0.069830645
277073:5105,07/20/16 07:09:53,98,91,0.014438663,0.012867861
277076:5105,07/20/16 07:55:58,1033,1033,0.132130281,0.127053783
277087:5105,07/20/16 17:49:22,988,988,0.090155085,0.087060090
277094:5106,07/21/16 04:03:56,596,588,0.141136092,0.132577619
277096:5106,07/21/16 07:56:14,2093,2086,0.337670266,0.323779500
277112:5106,07/21/16 21:29:34,155,155,0.018210637,0.017565889
277126:5107,07/22/16 01:36:48,19,18,0.004631794,0.001989961
277127:5107,07/22/16 01:46:10,901,901,0.193479192,0.185988483
277148:5108,07/22/16 10:31:04,633,628,0.138872723,0.129584055
277166:5109,07/22/16 18:10:23,357,355,0.075812407,0.071423448
277168:5109,07/22/16 20:34:53,2223,2223,0.334324712,0.322020906
277180:5110,07/23/16 13:37:57,141,141,0.034065290,0.031605772
277194:5111,07/23/16 18:25:08,1954,1954,0.393460580,0.371051725
277305:5116,07/25/16 01:23:14,683,683,0.164878863,0.156008009
277420:5117,07/25/16 19:44:15,263,263,0.065979839,0.061594068
277981:5151,08/01/16 11:52:59,81,76,0.005230268,0.004507902
277991:5151,08/01/16 15:43:56,98,90,0.005639201,0.004650077
277992:5151,08/01/16 16:22:25,311,311,0.017432449,0.016565390
278017:5154,08/01/16 23:26:43,521,517,0.135961325,0.126317713
278018:5154,08/02/16 02:52:01,1158,1158,0.227486191,0.216262016
278167:5161,08/03/16 18:39:02,2173,2171,0.332140386,0.317529995
278175:5161,08/04/16 08:44:58,88,88,0.009356528,0.009121977
278193:5162,08/04/16 12:31:44,155,155,0.036753241,0.034971066
278239:5163,08/04/16 23:23:01,679,676,0.146337729,0.134595555
278240:5163,08/05/16 03:46:54,1303,1303,0.207410331,0.198739529
278273:5169,08/05/16 17:37:20,40,40,0.008171111,0.005915095
278274:5169,08/05/16 17:55:42,85,85,0.019782256,0.018218056
278288:5170,08/05/16 21:11:12,18,15,0.004236722,0.002906664
278289:5170,08/05/16 21:18:02,59,54,0.013262299,0.009557321
278290:5170,08/05/16 21:42:34,11,11,0.002643740,0.002448792
278308:5173,08/06/16 13:00:39,1754,1750,0.334439802,0.316338147
278310:5173,08/07/16 00:47:36,709,709,0.092298489,0.089216197
278315:5179,08/07/16 10:56:52,693,693,0.151256182,0.138937823
278345:5181,08/08/16 00:13:39,748,748,0.165507469,0.151740578
278346:5181,08/08/16 05:08:15,150,141,0.028572227,0.022486479
278349:5181,08/08/16 06:27:06,621,617,0.101224634,0.095653085
278366:5181,08/08/16 10:36:47,453,453,0.062155739,0.059965424
278406:5183,08/08/16 17:15:50,1597,1597,0.316165421,0.300016931
278509:5187,08/09/16 18:29:15,1467,1467,0.297804396,0.276277382
278769:5197,08/13/16 06:38:56,37,31,0.009725139,0.007290296
278770:5197,08/13/16 06:54:00,767,767,0.172788929,0.165550062
278801:5198,08/13/16 14:43:37,45,42,0.012090862,0.007893317
278802:5198,08/13/16 15:01:05,21,17,0.004822326,0.001725289
278803:5198,08/13/16 15:10:53,330,323,0.081012943,0.072484096
278804:5198,08/13/16 17:20:06,8,5,0.001837694,0.000755143
278805:5198,08/13/16 17:23:10,288,285,0.062690102,0.056436357
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#80,236,141633,141089,20.733124496,19.648186119
#Check JSON:
#(run,ls) in json but not in results: [(284044, 1), (284044, 2), (284044, 3), (284044, 4), (284044, 5), (284044, 6), (284044, 7), (284044, 8), (284044, 9), (284044, 10), (284044, 11), (284044, 12), (284044, 13), (284044, 14), (284044, 15), (284044, 16), (284044, 17), (284044, 18), (284044, 19), (284044, 20), (284044, 21), (284044, 22), (284044, 23), (284044, 24), (284044, 25), (284044, 26), (284044, 27), (284044, 28), (284044, 29), (284044, 30)]
