#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320059:6961,07/22/18 18:43:23,105,105,0.043616077,0.040909008
320060:6961,07/22/18 19:27:05,42,42,0.016524609,0.015725135
320061:6961,07/22/18 19:46:28,49,49,0.019093879,0.018270201
320062:6961,07/22/18 20:06:50,21,21,0.008000818,0.006956526
320063:6961,07/22/18 20:17:40,64,64,0.023691335,0.022166274
320064:6961,07/22/18 20:48:07,200,200,0.068381122,0.064867062
320065:6961,07/22/18 22:09:30,920,920,0.234982354,0.227087403
320673:7005,08/01/18 02:33:01,867,867,0.065886258,0.064592146
320674:7005,08/01/18 08:11:46,599,599,0.034307292,0.033749177
320688:7006,08/01/18 15:24:06,483,483,0.135322479,0.130855973
320712:7008,08/02/18 02:45:01,204,204,0.071961798,0.069580333
320757:7013,08/02/18 14:37:56,332,332,0.120887148,0.116684512
320804:7017,08/03/18 07:27:51,1229,1229,0.330957920,0.319035302
320807:7017,08/03/18 15:28:46,7,7,0.001319985,0.000348409
320809:7017,08/03/18 15:43:13,716,716,0.109017320,0.106231067
320821:7018,08/03/18 23:57:32,181,181,0.062972025,0.060433375
320822:7018,08/04/18 01:09:16,523,523,0.155023406,0.149815329
320823:7018,08/04/18 04:34:31,360,360,0.082833703,0.080025689
320824:7018,08/04/18 06:55:49,1051,1051,0.168366963,0.164020607
320838:7020,08/04/18 17:31:12,265,265,0.096929169,0.092366779
320840:7020,08/04/18 19:20:14,471,471,0.146843682,0.141043965
320841:7020,08/04/18 22:26:03,205,205,0.052347912,0.050468420
320853:7024,08/05/18 06:48:20,329,329,0.122364454,0.118066392
320854:7024,08/05/18 08:59:06,125,125,0.041401284,0.039645199
320855:7024,08/05/18 09:50:43,565,565,0.151992268,0.146560086
320856:7024,08/05/18 13:36:28,159,159,0.034598947,0.033490997
320857:7024,08/05/18 14:39:57,272,272,0.054740677,0.052860042
320858:7024,08/05/18 16:27:33,230,230,0.039032636,0.037521219
320859:7024,08/05/18 18:00:16,40,40,0.005145835,0.004926687
320887:7026,08/05/18 22:38:34,273,273,0.107834229,0.104362439
320888:7026,08/06/18 00:26:10,26,26,0.009764341,0.009500266
320916:7031,08/06/18 09:12:39,24,24,0.007336276,0.006635055
320917:7031,08/06/18 09:25:17,1926,1926,0.492701094,0.477804518
320920:7031,08/06/18 21:56:15,178,178,0.024669321,0.024013498
320933:7033,08/07/18 03:29:36,175,172,0.055392145,0.051966171
320934:7033,08/07/18 04:38:31,831,826,0.218511708,0.210461750
320936:7033,08/07/18 10:01:22,407,400,0.082934803,0.078320362
320941:7033,08/07/18 12:39:42,93,93,0.016178969,0.015638136
320980:7035,08/07/18 15:52:40,99,99,0.039561990,0.038407873
320995:7036,08/07/18 19:28:55,189,183,0.029096010,0.025796208
320996:7036,08/07/18 20:42:30,380,380,0.050584199,0.048288004
321004:7037,08/08/18 01:47:42,150,147,0.051275351,0.046906845
321005:7037,08/08/18 02:48:15,61,61,0.021380276,0.019195962
321006:7037,08/08/18 03:15:04,162,162,0.054086488,0.051704609
321007:7037,08/08/18 04:19:56,831,829,0.210059911,0.202764245
321009:7037,08/08/18 09:43:25,85,79,0.016635658,0.014732991
321010:7037,08/08/18 10:16:22,342,342,0.059726475,0.057206849
321011:7037,08/08/18 12:32:48,213,211,0.031806352,0.028948924
321012:7037,08/08/18 13:58:30,47,47,0.005390360,0.004974461
321051:7039,08/09/18 03:17:54,1122,1113,0.328977972,0.311579165
321055:7039,08/09/18 10:35:36,730,730,0.128411902,0.125495933
321067:7040,08/09/18 18:21:44,595,593,0.180063518,0.172708151
321068:7040,08/09/18 22:16:40,715,707,0.152858840,0.147137442
321069:7040,08/10/18 02:54:15,313,313,0.051305666,0.049557953
321119:7042,08/10/18 15:12:52,170,169,0.062875482,0.058668900
321121:7042,08/10/18 16:22:06,47,46,0.017364378,0.015831597
321122:7042,08/10/18 16:42:10,395,391,0.128068512,0.120347054
321124:7042,08/10/18 19:20:25,819,818,0.192897963,0.185308786
321126:7042,08/11/18 01:03:45,493,493,0.081502902,0.078957727
321134:7043,08/11/18 08:39:55,38,38,0.008416372,0.008164377
321138:7043,08/11/18 09:32:55,741,735,0.150432890,0.141978330
321140:7043,08/11/18 14:25:01,798,798,0.119694313,0.116950318
321149:7045,08/11/18 22:25:55,1697,1697,0.446897297,0.433918740
321165:7047,08/12/18 15:19:23,8,2,0.003209350,0.000389901
321166:7047,08/12/18 15:42:32,10,10,0.003997497,0.003380967
321167:7047,08/12/18 15:51:01,918,918,0.282765296,0.274128827
321177:7048,08/13/18 03:40:20,411,411,0.156073976,0.151675475
321178:7048,08/13/18 06:57:22,74,74,0.023596285,0.023034674
321218:7052,08/13/18 12:13:49,914,914,0.296326976,0.282502603
321219:7052,08/13/18 18:10:44,934,930,0.186824199,0.181190276
321221:7052,08/14/18 00:13:21,40,40,0.006038632,0.005906224
321230:7053,08/14/18 03:33:41,84,81,0.033383650,0.022670580
321231:7053,08/14/18 04:09:24,59,59,0.024679837,0.014523788
321232:7053,08/14/18 04:36:11,30,24,0.012116605,0.006057973
321233:7053,08/14/18 04:47:55,727,727,0.238950290,0.231854179
321262:7054,08/14/18 12:50:07,4,4,0.001737804,0.001669137
321283:7055,08/14/18 15:05:56,310,310,0.124954571,0.119781941
321294:7055,08/14/18 17:35:51,62,62,0.022067690,0.020610644
321295:7055,08/14/18 18:01:35,739,734,0.209793861,0.201491521
321296:7055,08/14/18 22:55:44,56,56,0.012397972,0.011876652
321305:7056,08/15/18 02:02:21,2628,2628,0.622183256,0.601908061
321311:7056,08/15/18 20:48:28,10,10,0.000941657,0.000473244
321312:7056,08/15/18 20:55:17,768,761,0.062021494,0.060265791
321313:7056,08/16/18 01:55:17,408,408,0.026959447,0.026586118
321393:7058,08/17/18 05:32:36,142,138,0.053403202,0.049689602
321396:7058,08/17/18 06:29:54,1475,1469,0.379273036,0.365020314
321397:7058,08/17/18 16:06:23,365,365,0.053675227,0.052262679
321414:7061,08/17/18 21:14:10,1253,1243,0.397521297,0.380804424
321415:7061,08/18/18 05:21:19,804,804,0.146244030,0.142214244
321431:7063,08/18/18 13:51:46,160,153,0.061700847,0.055908397
321432:7063,08/18/18 14:54:29,47,47,0.018178820,0.016578099
321433:7063,08/18/18 15:15:09,125,125,0.045595800,0.042731868
321434:7063,08/18/18 16:07:00,642,642,0.187643020,0.180883530
321436:7063,08/18/18 20:20:52,710,710,0.142080158,0.138442512
321457:7065,08/19/18 07:38:11,1845,1844,0.501872563,0.482764913
321461:7065,08/19/18 19:38:10,149,149,0.021566373,0.021013159
321475:7069,08/20/18 01:30:43,2028,2028,0.488692562,0.471915197
321710:7078,08/23/18 13:20:08,57,52,0.019916264,0.017235540
321712:7078,08/23/18 13:42:14,247,247,0.087886898,0.084378813
321730:7080,08/23/18 21:10:55,289,286,0.113481635,0.102671758
321732:7080,08/23/18 23:11:04,1412,1407,0.359091380,0.344693885
321735:7080,08/24/18 08:33:27,146,146,0.024345311,0.023661372
321755:7083,08/24/18 13:48:50,693,686,0.223341784,0.213439063
321758:7083,08/24/18 18:21:07,157,152,0.039833933,0.037517794
321760:7083,08/24/18 19:44:52,805,805,0.150633274,0.146154011
321773:7087,08/25/18 12:11:58,55,55,0.022124595,0.021058973
321774:7087,08/25/18 12:43:49,117,117,0.045889667,0.043723511
321775:7087,08/25/18 13:36:11,13,13,0.004960672,0.004807280
321776:7087,08/25/18 13:57:38,33,30,0.012074385,0.010304763
321777:7087,08/25/18 14:14:59,187,187,0.063977373,0.058617297
321778:7087,08/25/18 16:07:27,143,136,0.041864502,0.036058523
321780:7087,08/25/18 17:04:57,481,481,0.116934171,0.113675311
321781:7087,08/25/18 20:38:11,380,380,0.070570387,0.068009371
321813:7090,08/26/18 09:20:15,321,321,0.125076616,0.120244832
321815:7090,08/26/18 12:01:16,23,23,0.007776422,0.005120243
321817:7090,08/26/18 12:20:00,536,536,0.153548703,0.148474427
321818:7090,08/26/18 15:50:06,690,690,0.142890518,0.138016019
321820:7090,08/26/18 20:26:15,214,214,0.032881015,0.032069065
321831:7091,08/27/18 00:10:22,757,752,0.260554565,0.248044751
321832:7091,08/27/18 05:06:22,497,494,0.120949044,0.115962445
321833:7091,08/27/18 08:27:00,407,398,0.078421356,0.074191075
321834:7091,08/27/18 11:05:28,333,333,0.051569880,0.049809670
321879:7092,08/27/18 17:57:43,274,265,0.099030374,0.090171380
321880:7092,08/27/18 20:01:46,130,130,0.042742557,0.041376114
321887:7095,08/28/18 01:04:04,895,895,0.287812076,0.276943266
321908:7097,08/28/18 13:40:10,430,426,0.157079157,0.145315917
321909:7097,08/28/18 16:31:34,1653,1653,0.351570764,0.340571266
321917:7098,08/29/18 05:24:24,798,798,0.271677366,0.261222200
